1998	-0.1	 1.3	 2.8	4.1	 8.3	12.8	15.5	15.2	12.3	 6.8	 1.0	-1.2
1999	-0.7	-1.4	 2.7	4.4	 9.9	12.7	15.3	16.6	12.3	 8.4	 0.7	-0.9
2000	-2.8	 0.8	 2.3	4.8	10.3	12.8	14.2	14.7	12.5	 8.9	 3.3	 2.4
2001	 2.4	-0.2	 5.3	4.7	 9.2	13.1	14.9	16.5	12.0	10.0	 2.4	-5.4
2002	-0.6	 0.1	 4.1	5.5	 8.1	12.5	15.4	13.9	11.5	 8.8	 4.3	 2.2
2003	-1.1	-0.2	 2.6	5.2	10.0	14.5	16.8	17.0	13.4	 9.4	 5.6	 1.0
2004	-0.4	-0.1	 1.7	5.0	 7.9	13.3	14.9	16.2	13.5	 9.3	 1.1	 0.7
2005	-4.2	-3.0	 1.1	4.4	 9.2	13.7	16.2	15.0	11.8	10.0	 3.4	-3.8
2006	-0.5	-0.4	 3.7	5.2	 9.7	12.5	16.0	14.1	14.5	10.7	 5.5	-0.3
2007	-1.3	 1.9	 1.5	6.8	 8.9	12.7	14.8	15.2	11.7	 8.0	-0.3	-2.4
2008	 0.4	 1.0	 2.1	5.4	 9.2	13.0	15.5	15.8	12.1	 8.6	 2.2	-0.6
2009	-0.4	 0.9	 2.5	4.6	 9.7	13.0	15.1	16.0	11.8	 8.5	 3.6	 0.5
2010	 0.5	 0.4	 1.3	5.1	 7.5	12.0	16.8	15.7	12.8	 7.7	 1.4	-0.6
2011	-1.3	-0.9	 2.6	7.0	 9.6	13.2	14.9	15.3	12.8	 8.3	 7.0	 0.0
2012	-2.3	-4.3	 0.5	5.1	 9.0	13.7	14.9	17.1	12.3	 9.6	 4.9	-1.2
2013	-1.8	-0.1	 3.9	5.5	 7.0	11.0	15.1	15.3	12.1	10.9	 2.7	-1.1
2014	 1.3	 1.1	 1.9	6.8	 8.0	12.5	14.7	16.2	14.6	10.2	 5.6	 0.1
